"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"09/08/2024","126,021.0","121,552.0","126,021.0","121,155.0","5.50M","4.53%"
"08/08/2024","120,559.0","120,757.0","121,552.0","120,062.0","2.65M","-0.49%"
"07/08/2024","121,155.0","120,161.0","121,155.0","119,367.0","2.82M","0.99%"
"06/08/2024","119,963.0","119,168.0","121,055.0","118,970.0","6.73M","1.86%"
"05/08/2024","117,778.0","120,261.0","122,048.0","116,586.0","10.42M","-3.73%"
"02/08/2024","122,346.0","121,254.0","123,935.0","120,161.0","9.94M","-1.28%"
"01/08/2024","123,935.0","128,702.0","128,801.0","123,240.0","6.87M","-2.96%"
"31/07/2024","127,709.0","126,418.0","127,709.0","125,723.0","2.87M","0.47%"
"30/07/2024","127,113.0","128,106.0","128,603.0","126,120.0","2.37M","-0.78%"
"29/07/2024","128,106.0","129,099.0","129,695.0","128,106.0","4.86M","0.78%"
"26/07/2024","127,113.0","125,028.0","127,113.0","123,538.0","3.95M","2.40%"
"25/07/2024","124,134.0","123,339.0","124,630.0","123,240.0","2.56M","-0.79%"
"24/07/2024","125,127.0","124,630.0","125,723.0","123,141.0","4.15M","0.40%"
"23/07/2024","124,630.0","124,034.0","126,616.0","123,935.0","5.31M","1.13%"
"22/07/2024","123,240.0","125,127.0","125,127.0","122,346.0","6.22M","-1.51%"
"19/07/2024","125,127.0","127,709.0","128,404.0","125,127.0","6.55M","-1.49%"
"18/07/2024","127,014.0","130,489.0","130,489.0","126,914.0","10.80M","-3.03%"
"17/07/2024","130,986.0","133,071.0","133,171.0","129,000.0","6.97M","-1.57%"
"16/07/2024","133,071.0","132,674.0","133,568.0","131,383.0","4.00M","0.98%"
"15/07/2024","131,780.0","132,575.0","133,866.0","131,383.0","3.07M","-0.82%"
"12/07/2024","132,873.0","131,284.0","135,058.0","131,284.0","3.55M","0.60%"
"11/07/2024","132,078.0","133,171.0","134,462.0","131,582.0","6.84M","-0.75%"
"10/07/2024","133,071.0","135,058.0","136,051.0","133,071.0","6.29M","-2.55%"
"09/07/2024","136,547.0","138,136.0","138,335.0","135,058.0","9.68M","-1.50%"
"08/07/2024","138,633.0","137,540.0","138,633.0","136,547.0","5.87M","0.65%"
"05/07/2024","137,739.0","135,157.0","138,732.0","135,157.0","7.79M","2.14%"
"04/07/2024","134,859.0","131,185.0","134,859.0","131,185.0","8.12M","3.66%"
"03/07/2024","130,092.0","129,596.0","131,880.0","129,198.0","7.63M","2.34%"
"02/07/2024","127,113.0","127,709.0","131,185.0","126,616.0","6.72M","-0.47%"
"01/07/2024","127,709.0","129,496.0","129,496.0","127,609.0","6.38M","-1.46%"
"28/06/2024","129,596.0","131,880.0","131,880.0","129,496.0","6.63M","-1.73%"
"27/06/2024","131,880.0","130,390.0","133,171.0","129,894.0","6.40M","0.76%"
"26/06/2024","130,887.0","130,092.0","130,887.0","128,503.0","7.15M","1.38%"
"25/06/2024","129,099.0","130,092.0","130,191.0","127,709.0","13.71M","-1.59%"
"24/06/2024","131,185.0","134,064.0","134,561.0","131,085.0","13.19M","-2.94%"
"21/06/2024","135,157.0","132,972.0","135,157.0","132,376.0","7.65M","2.10%"
"20/06/2024","132,376.0","132,078.0","134,760.0","130,887.0","10.47M","1.37%"
"19/06/2024","130,589.0","127,113.0","131,880.0","125,723.0","9.67M","2.73%"
"18/06/2024","127,113.0","127,907.0","128,801.0","127,113.0","6.68M","-0.62%"
"17/06/2024","127,907.0","130,092.0","130,489.0","127,609.0","4.87M","-1.68%"
"14/06/2024","130,092.0","129,198.0","131,681.0","128,106.0","6.41M","0.77%"
"13/06/2024","129,099.0","132,773.0","132,873.0","129,099.0","8.14M","-1.52%"
"12/06/2024","131,085.0","127,014.0","131,780.0","126,914.0","11.22M","4.24%"
"11/06/2024","125,757.0","123,869.0","125,757.0","122,839.0","7.28M","1.74%"
"10/06/2024","123,611.0","123,182.0","124,470.0","122,753.0","4.34M","1.41%"
"07/06/2024","121,895.0","121,036.0","121,895.0","120,607.0","4.32M","1.72%"
"06/06/2024","119,834.0","120,435.0","121,637.0","119,148.0","5.99M","-0.36%"
"05/06/2024","120,264.0","120,178.0","124,384.0","119,920.0","7.27M","0.72%"
"04/06/2024","119,405.0","119,319.0","119,577.0","118,289.0","8.06M","1.61%"
"03/06/2024","117,517.0","115,886.0","118,118.0","115,628.0","8.94M","1.71%"
"31/05/2024","115,542.0","115,886.0","117,431.0","114,856.0","3.03M","-0.30%"
"30/05/2024","115,886.0","114,856.0","115,886.0","113,225.0","8.35M","-0.52%"
"29/05/2024","116,487.0","117,688.0","118,633.0","115,714.0","6.71M","-0.95%"
"28/05/2024","117,603.0","115,027.0","117,603.0","114,255.0","5.32M","3.16%"
"27/05/2024","113,997.0","114,169.0","114,598.0","112,109.0","5.93M","0.68%"
"24/05/2024","113,225.0","118,461.0","118,461.0","112,109.0","15.38M","-4.07%"
"23/05/2024","118,032.0","118,032.0","118,289.0","115,886.0","4.16M","-0.36%"
"22/05/2024","118,461.0","118,375.0","119,920.0","116,830.0","5.19M","1.47%"
"21/05/2024","116,744.0","115,027.0","116,744.0","114,598.0","3.99M","2.26%"
"20/05/2024","114,169.0","116,057.0","116,830.0","114,169.0","2.32M","-1.12%"
"17/05/2024","115,457.0","116,229.0","116,744.0","114,770.0","2.65M","-0.66%"
"16/05/2024","116,229.0","116,401.0","117,860.0","115,199.0","3.59M","0.97%"
"15/05/2024","115,113.0","112,881.0","115,457.0","112,710.0","4.20M","2.76%"
"14/05/2024","112,023.0","111,594.0","113,053.0","111,250.0","2.65M","0.62%"
"13/05/2024","111,336.0","112,710.0","112,881.0","110,564.0","2.13M","-0.99%"
"10/05/2024","112,452.0","112,710.0","113,482.0","110,907.0","4.36M","0.54%"
"09/05/2024","111,851.0","112,109.0","113,997.0","111,594.0","2.53M","-0.53%"
"08/05/2024","112,452.0","111,680.0","112,452.0","110,993.0","3.47M","-0.23%"
"07/05/2024","112,710.0","109,877.0","112,967.0","109,190.0","3.59M","2.90%"
"06/05/2024","109,533.0","108,589.0","109,533.0","106,872.0","3.11M","1.35%"
"03/05/2024","108,074.0","109,963.0","110,220.0","107,817.0","3.67M","-1.10%"
"02/05/2024","109,276.0","106,272.0","110,735.0","106,014.0","3.99M","3.33%"
"26/04/2024","105,756.0","105,585.0","107,645.0","104,898.0","3.91M","0.00%"
"25/04/2024","105,756.0","105,156.0","109,877.0","104,641.0","6.56M","2.58%"
"24/04/2024","103,095.0","97,516.0","103,095.0","97,172.0","11.68M","6.95%"
"23/04/2024","96,400.0","95,198.0","97,258.0","94,340.0","4.64M","1.81%"
"22/04/2024","94,683.0","94,425.0","95,627.0","93,481.0","2.76M","1.19%"
"19/04/2024","93,567.0","94,855.0","95,456.0","93,567.0","6.17M","-2.50%"
"17/04/2024","95,971.0","97,087.0","97,087.0","95,799.0","2.23M","-1.06%"
"16/04/2024","97,001.0","96,142.0","97,172.0","95,713.0","4.19M","1.25%"
"15/04/2024","95,799.0","99,147.0","99,233.0","95,713.0","4.26M","-3.38%"
"12/04/2024","99,147.0","99,490.0","99,490.0","98,117.0","1.57M","0.52%"
"11/04/2024","98,632.0","97,430.0","99,061.0","97,258.0","1.78M","0.97%"
"10/04/2024","97,687.0","97,430.0","99,233.0","97,258.0","2.06M","0.71%"
"09/04/2024","97,001.0","96,657.0","97,172.0","96,571.0","1.65M","0.36%"
"08/04/2024","96,657.0","97,602.0","97,602.0","96,657.0","2.24M","-0.97%"
"05/04/2024","97,602.0","97,087.0","98,460.0","96,657.0","3.17M","-0.26%"
"04/04/2024","97,859.0","98,717.0","99,404.0","97,859.0","2.71M","-0.96%"
"03/04/2024","98,803.0","99,662.0","100,434.0","98,803.0","2.93M","-1.62%"
"02/04/2024","100,434.0","99,061.0","100,434.0","99,061.0","2.63M","0.17%"
"01/04/2024","100,263.0","99,576.0","100,949.0","98,889.0","2.27M","0.26%"
"29/03/2024","100,005.0","99,919.0","100,606.0","99,576.0","1.55M","-0.51%"
"28/03/2024","100,520.0","99,490.0","100,778.0","98,975.0","3.22M","1.65%"
"27/03/2024","98,889.0","98,460.0","98,975.0","97,945.0","1.52M","0.17%"
